text_combined,true_labels
We’re happy to inform you that your refund has been processed. Please allow a few days for the transaction.,0
" Dear Member, your gym membership will expire soon. Renew now to continue your fitness journey without interruption.",0
Your job application for the role of Software Engineer has been received. We’ll be in touch soon.,1
Our office will be closed from December 24th to January 2nd in observance of the holiday season. We’ll resume normal operations on January 3rd. Happy Holidays!,0
We’ve noticed unusual activity on your credit card. Please verify your account immediately by clicking this link.,0
You’ve received a payment of $500. Click here to confirm your bank account to receive funds.,1
"Hi John, just wanted to remind you about our meeting tomorrow at 2 PM. Let me know if you need to reschedule.",0
Your Amazon package has been shipped! You can track it using the link provided in your account.,0
We’ve shipped your order! You can track the progress on our website.,0
We appreciate your recent purchase at our store! Please leave a review and let us know how we did.,0
We’ve successfully updated your contact information as requested. Thank you for keeping your details up-to-date.,1
Your account balance of $100 will be credited by the end of the day. Please check your bank statement.,1
Final warning! Your email account will be deleted in 24 hours unless you verify your details. Click here to prevent this.,0
"Dear Customer, your invoice for the recent purchase is now available. You can download it from your account portal. Please contact support if you have any questions.",0
Your electricity bill for the month of September is now available. Please review and make a payment.,1
We’re writing to inform you that your flight to New York has been confirmed. Please review your itinerary.,0
Hello! Your phone bill payment of $45 has been received. Thank you for choosing us.,0
"Dear user, your password has been successfully updated. Please contact support if this wasn’t you.",0
Your subscription is about to expire. Renew it today to continue enjoying premium content and uninterrupted service.,0
"Your password was successfully changed. If this wasn’t you, please contact support immediately.",0
Final warning! Your Apple ID has been breached. Secure your account by clicking here.,1
Your credit card has been flagged for fraudulent activity. Confirm your details here to resolve the issue.,1
Hi! Your car service is scheduled for tomorrow. Please bring your car by 9 AM.,0
"Dear customer, click here to download your latest bank statement. Urgent action required.",1
Your Gmail account has exceeded its storage limit. Click here to upgrade for free.,1
You’ve been chosen for a free vacation! Click here to book your trip before the offer expire,0
"Dear Customer, your subscription will expire in 7 days. Please renew it to continue using our services. Thank you!",0
Your subscription to our service has been confirmed. You’ll now have access to premium features.,0
"You’ve been selected for a $1,000 gift card. Click here to claim your prize!",1
Your Netflix account is at risk of suspension due to failed payment. Click here to update your billing details.,0
Good news! Your job application has been moved to the interview stage. We will contact you soon.,0
Reminder: Your dental appointment is scheduled for 10:30 AM this Thursday. Please confirm your attendance.,0
Congratulations! You've been selected for a free vacation. Confirm your booking here.,1
"Dear customer, you have been awarded a $100 gift card. Click here to claim it now.",1
We’re excited to introduce a new feature in our app! Update now to enjoy enhanced performance and new tools that help you stay productive.,0
You need to reset your password now to prevent your account from being locked. Click here.,1
